N,BUSCA,Tempo de inserção (média com 30 execuções),Tempo de procura (média com 30 execuções),Tipo
400000,100,"0,15528730000000000000","0,00006620000000000000",seq
500000,100,"0,19679710000000000000","0,00007426666666666666",seq
50000,100,"0,01654600000000000000","0,00002733333333333333",seq
700000,100,"0,28258066666666666666","0,00008770000000000000",seq
900000,100,"0,36902826666666666666","0,00009300000000000000",seq
1000000,1000,"0,84414236666666666666","0,00052120000000000000",rand
100000,1000,"0,05059746666666666666","0,00021293333333333333",rand
10000,1000,"0,00376630000000000000","0,00012243333333333333",rand
1000,1000,"0,00031156666666666666","0,00007750000000000000",rand
100,1000,"0,00002683333333333333","0,00005226666666666666",rand
2000000,1000,"2,01155610000000000000","0,00062330000000000000",rand
200000,1000,"0,10730540000000000000","0,00024390000000000000",rand
3000000,1000,"3,27762076666666666666","0,00068296666666666666",rand
300000,1000,"0,16864800000000000000","0,00029320000000000000",rand
400000,1000,"0,23385093333333333333","0,00032530000000000000",rand
500000,1000,"0,30573623333333333333","0,00035930000000000000",rand
50000,1000,"0,02366643333333333333","0,00018773333333333333",rand
700000,1000,"0,45484150000000000000","0,00039766666666666666",rand
900000,1000,"0,61615743333333333333","0,00043313333333333333",rand
1000000,1000,"0,41225406666666666666","0,00077496666666666666",seq
100000,1000,"0,03521253333333333333","0,00032556666666666666",seq
10000,1000,"0,00278226666666666666","0,00013620000000000000",seq
1000,1000,"0,00022483333333333333","0,00007786666666666666",seq
100,1000,"0,00001983333333333333","0,00005140000000000000",seq
2000000,1000,"0,87358236666666666666","0,00092393333333333333",seq
200000,1000,"0,07403246666666666666","0,00041170000000000000",seq
3000000,1000,"1,35965686666666666666","0,00102253333333333333",seq
300000,1000,"0,11414416666666666666","0,00047010000000000000",seq
400000,1000,"0,15511070000000000000","0,00053843333333333333",seq
500000,1000,"0,19567003333333333333","0,00060290000000000000",seq
50000,1000,"0,01661310000000000000","0,00023740000000000000",seq
700000,1000,"0,28258086666666666666","0,00068843333333333333",seq
900000,1000,"0,36957846666666666666","0,00073933333333333333",seq
1000000,10000,"0,84402936666666666666","0,00509243333333333333",rand
100000,10000,"0,05089596666666666666","0,00198140000000000000",rand
10000,10000,"0,00377923333333333333","0,00117806666666666666",rand
1000,10000,"0,00029890000000000000","0,00072763333333333333",rand
100,10000,"0,00002643333333333333","0,00048356666666666666",rand
2000000,10000,"2,00852156666666666666","0,00611546666666666666",rand
200000,10000,"0,10736656666666666666","0,00234340000000000000",rand
3000000,10000,"3,27770516666666666666","0,00668540000000000000",rand
300000,10000,"0,16923143333333333333","0,00278270000000000000",rand
400000,10000,"0,23458393333333333333","0,00320050000000000000",rand
500000,10000,"0,30547436666666666666","0,00349153333333333333",rand
50000,10000,"0,02352313333333333333","0,00172830000000000000",rand
700000,10000,"0,45517583333333333333","0,00392436666666666666",rand
900000,10000,"0,61544743333333333333","0,00422140000000000000",rand
1000000,10000,"0,41378956666666666666","0,00671743333333333333",seq
100000,10000,"0,03560750000000000000","0,00257346666666666666",seq
10000,10000,"0,00279570000000000000","0,00133180000000000000",seq
1000,10000,"0,00022580000000000000","0,00075316666666666666",seq
100,10000,"0,00002076666666666666","0,00050183333333333333",seq
2000000,10000,"0,87445103333333333333","0,00796353333333333333",seq
200000,10000,"0,07422710000000000000","0,00323536666666666666",seq
3000000,10000,"1,36551150000000000000","0,00868690000000000000",seq
300000,10000,"0,11416286666666666666","0,00397646666666666666",seq
400000,10000,"0,15492776666666666666","0,00468823333333333333",seq
500000,10000,"0,19643873333333333333","0,00524163333333333333",seq
50000,10000,"0,01662066666666666666","0,00216380000000000000",seq
700000,10000,"0,28203640000000000000","0,00600893333333333333",seq
900000,10000,"0,36921210000000000000","0,00648686666666666666",seq
