N,BUSCA,Tempo de inserção (média com 30 execuções),Tempo de procura (média com 30 execuções),Tipo
100000,1000,"0,00921630000000000000","0,12465756666666666666",rand
10000,1000,"0,00100486666666666666","0,01294393333333333333",rand
1000,1000,"0,00009206666666666666","0,00130633333333333333",rand
100,1000,"0,00001156666666666666","0,00015113333333333333",rand
2000000,1000,"0,19144393333333333333","2,74653930000000000000",rand
200000,1000,"0,01865206666666666666","0,24420283333333333333",rand
3000000,1000,"0,28421706666666666666","3,94889396666666666666",rand
300000,1000,"0,02861406666666666666","0,38643416666666666666",rand
400000,1000,"0,03843740000000000000","0,52892780000000000000",rand
500000,1000,"0,04727750000000000000","0,63775023333333333333",rand
50000,1000,"0,00467100000000000000","0,06129930000000000000",rand
700000,1000,"0,06531796666666666666","0,85576593333333333333",rand
900000,1000,"0,08747936666666666666","1,06468900000000000000",rand
1000000,1000,"0,09582430000000000000","1,53411313333333333333",seq
100000,1000,"0,00919133333333333333","0,13249316666666666666",seq
10000,1000,"0,00096360000000000000","0,01320240000000000000",seq
1000,1000,"0,00009593333333333333","0,00133143333333333333",seq
100,1000,"0,00001066666666666666","0,00015006666666666666",seq
2000000,1000,"0,18916930000000000000","3,02329793333333333333",seq
200000,1000,"0,01773006666666666666","0,26044650000000000000",seq
3000000,1000,"0,28144843333333333333","4,37301670000000000000",seq
300000,1000,"0,02753766666666666666","0,42876646666666666666",seq
400000,1000,"0,03705926666666666666","0,58063336666666666666",seq
500000,1000,"0,04945660000000000000","0,80022720000000000000",seq
50000,1000,"0,00442946666666666666","0,06172770000000000000",seq
700000,1000,"0,06314950000000000000","0,99887480000000000000",seq
900000,1000,"0,08283553333333333333","1,32321023333333333333",seq
1000000,10000,"0,09520870000000000000","14,22498556666666666666",rand
100000,10000,"0,00942616666666666666","1,23649250000000000000",rand
10000,10000,"0,00089156666666666666","0,12720720000000000000",rand
1000,10000,"0,00009330000000000000","0,01275270000000000000",rand
100,10000,"0,00001103333333333333","0,00143713333333333333",rand
2000000,10000,"0,18679483333333333333","27,09969246666666666666",rand
200000,10000,"0,01861716666666666666","2,43130416666666666666",rand
3000000,10000,"0,28573290000000000000","39,55409373333333333333",rand
300000,10000,"0,02840700000000000000","3,69384153333333333333",rand
400000,10000,"0,03706206666666666666","5,02384416666666666666",rand
500000,10000,"0,04662836666666666666","6,09841203333333333333",rand
50000,10000,"0,00464606666666666666","0,61647463333333333333",rand
700000,10000,"0,06630020000000000000","8,11818200000000000000",rand
900000,10000,"0,08288906666666666666","9,76600633333333333333",rand
1000000,10000,"0,09069846666666666666","14,53716073333333333333",seq
100000,10000,"0,00888070000000000000","1,26564620000000000000",seq
10000,10000,"0,00082393333333333333","0,12775770000000000000",seq
1000,10000,"0,00008633333333333333","0,01294836666666666666",seq
100,10000,"0,00000986666666666666","0,00144653333333333333",seq
2000000,10000,"0,18289713333333333333","28,38408420000000000000",seq
200000,10000,"0,01733596666666666666","2,50750063333333333333",seq
3000000,10000,"0,26977650000000000000","43,03078113333333333333",seq
300000,10000,"0,02744746666666666666","3,94855520000000000000",seq
400000,10000,"0,03612490000000000000","5,53457206666666666666",seq
500000,10000,"0,04544220000000000000","6,96270513333333333333",seq
50000,10000,"0,00417483333333333333","0,61607110000000000000",seq
700000,10000,"0,06315620000000000000","10,04638436666666666666",seq
900000,10000,"0,08128170000000000000","12,76782023333333333333",seq
